Community Area,Per Capita Income,Unemployment,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Birth Rate,Low Birth Weight,Prenatal Care,Preterm Births,Teen Birth Rate,Lung Cancer,Breast Cancer in Females,Prostate Cancer in Males,Diabetes,Stroke,Tuberculosis,Firearm
Rogers Park,23714,7.5,22.7,7.9,28.8,18.1,16.4,11,73,11.2,40.8,36.7,23.3,21.7,77.1,33.7,11.4,5.2
West Ridge,21375,7.9,15.1,7,38.3,19.6,17.3,8.1,71.1,8.3,29.9,36,20.2,14.2,60.5,34.7,8.9,3.7
Uptown,32355,7.7,22.7,4.6,22.2,13.6,13.1,8.3,77.7,10.3,35.1,50.5,21.3,25.2,80,41.7,13.6,4.6
Lincoln Square,35503,6.8,9.5,3.1,25.6,12.5,17.1,8.1,80.5,9.7,38.4,43.1,21.7,27.6,55.4,36.9,8.5,6.1
North Center,51615,4.5,7.1,0.2,25.5,5.4,22.4,9.1,80.4,9.8,8.4,42.4,16.6,15.1,49.8,41.6,1.9,1
Lake View,58227,4.7,10.5,1.2,16.5,2.9,13.5,6.3,79.1,8.1,15.8,32.5,20.1,17,38.5,24.4,3.2,1.8
Lincoln Park,71403,4.5,11.8,0.6,20.4,4.3,13.2,6.6,75.7,7.8,2.1,40,23.7,27.3,50.1,35.3,1.2,2.3
Near North Side,87163,5.2,13.4,2,23.3,3.4,10.7,8.6,69.7,9.6,34,33.6,24,15.1,27,22,5.5,3.2
Edison Park,38337,7.4,5.1,0.6,36.6,8.5,11.3,7.9,86.6,12.6,3.9,45.2,13.8,28,53,38.9,1.8,7.1
Norwood Park,31659,7.3,5.9,2.3,40.6,13.5,10.4,4.9,89.4,8.3,3.4,44.5,20.7,26.4,47.3,45.2,1.6,8.7
Jefferson Park,27280,9,6.4,1.9,34.4,13.5,13.8,6.6,82.9,7.7,28.6,55.7,18.4,32.1,49.2,41.9,7.1,4.2
Forest Glen,41509,5.5,6.1,1.3,40.6,6.3,10,7.6,79.3,10.3,6.3,27,25,20.3,37.2,31,2.2,6.2
North Park,24941,7.5,12.4,3.8,39.7,18.2,10.9,9.7,79.1,10.2,10.5,34.7,20.4,14.6,58.9,26.7,8.9,3.1
Albany Park,20355,9,17.1,11.2,32.1,34.9,18.3,8.5,73.3,8.3,44.5,36.9,22.9,13.1,72.1,39.1,16.8,5.3
Portage Park,23617,10.6,12.3,4.4,34.6,18.7,14.2,6.9,79.8,8.7,41.7,44.9,23.3,14.8,48.2,37.9,4,4.7
Irving Park,26713,10.3,10.8,5.6,31.6,22,15.8,7.7,79.9,10.2,37,41.3,29.9,17.9,60.2,42,9.3,5.7
Dunning,26347,8.6,8.3,4.8,34.9,18,12.5,6.8,82.7,9.9,19.9,53.9,23.7,24.4,42.5,32,2.4,5.2
Montclaire,21257,10.8,12.8,5.8,35,28.4,17.1,8.3,77.6,8.8,61.5,33.4,29.9,21.9,89.6,40.3,3,6.5
Belmont Cragin,15246,11.5,18.6,10,36.9,37,20,6.9,74.1,7.6,68.2,37.8,14.4,27.3,58.6,38.2,9.4,5.5
Hermosa,15411,12.9,19.1,8.4,36.3,41.9,20.3,6.7,77.5,8.8,69.7,27.7,18.4,25.6,63.6,27.6,15.8,11.8
Avondale,20489,9.3,14.6,5.8,30.4,25.7,18.5,7.3,74.4,7.5,63.4,32.5,16.6,37.7,52.7,36,10.1,4.6
Logan Square,29026,7.5,17.2,3.2,26.7,18.5,18.2,7.2,78.2,9.4,66.1,37.7,9.2,17.5,75.7,31.9,8.4,10.2
